Date,Author,Headline
04/20/2018,Brendan Erne,Keeping an Eye on the Energy Market
04/19/2018,Personal Capital,Love and Money: Who Controls the Finances? (Video)
04/18/2018,Jason Largey,Setting Up a Trust Fund: What You Need to Know
04/17/2018,Michelle Brownstein,"When Investing in Cryptocurrencies, Envy Often Goeth Before a Fall"
04/16/2018,Craig Birk,Q1 18 Review: A Return of Volatility and a Time to Revisit Strategy
04/13/2018,Craig Birk,Market Volatility and a Very Busy Week in Washington
04/09/2018,Michelle Brownstein,"Money Is A Major Stressor In a Relationship, Here’s How You and Your Partner Can Get Set for Success"
04/09/2018,Craig Birk,Making Sense of Risk Tolerance
04/06/2018,Craig Birk,"Tariffs, a Weak Jobs Report, and Expected Rate Hikes"
04/05/2018,Brian Wainscoat,Do I Need to File a Gift Tax Return?
04/04/2018,Craig Birk,Is Market Timing a Myth?
04/03/2018,Jason Largey,Transferring Wealth After the Tax Reform Act
03/29/2018,Brendan Erne,What Goes Up the Most Tends to Come Down the Most
03/27/2018,Brian Wainscoat,Tax Forms Every Investor Should Know
03/23/2018,Craig Birk,"Trade War Tensions, a Fed Rate Hike, and Facebook"
03/22/2018,Personal Capital,While-You-Wait Investing: Tax Location
03/21/2018,Brian Wainscoat,Last-Minute Deductions That Could Lower Your 2017 Tax Bill
03/20/2018,Brian Wainscoat,Is Your Side Gig a Hobby or Business? The Tax Impacts of Each
03/16/2018,Craig Birk,A Busy Week in Washington and the Fiduciary Rule's Fate
03/15/2018,Brendan Erne,Should I Have a Socially Responsible Investment Portfolio?
03/14/2018,Brian Wainscoat,How Tax Reform Impacted Housing Deductions
03/13/2018,Brian Wainscoat,Last-Minute Tax Tip: You Can Still Make 2017 IRA and 401k Contributions
03/12/2018,Personal Capital,While-You-Wait Investing: Tax-Loss Harvesting
03/09/2018,Craig Birk,Momentum Remains on Bull's Side
03/07/2018,Craig Birk,Capital Markets Review & Commentary
03/06/2018,Jacob Jaegle,The IRS and Your Traditional IRA
03/02/2018,Craig Birk,Market Rarely Driven by Just One Factor
03/01/2018,Brian Wainscoat,HAS vs FSA: Tax Benefits of Health Savings
02/27/2018,Personal Capital,While-You-Wait Investing: Retirement Income vs Cash Flow
02/23/2018,Brendan Erne,Are Bond Fears Warranted in Light of Interest Rates Expectations?
02/22/2018,Brian Wainscoat,Roth Conversions | Rules & Strategies
02/21/2018,Paul Deer,How to Calculate Your Retirement Number
02/20/2018,Personal Capital,Video: How Much Should You Spend in Retirement?
02/16/2018,Amin Dabit,Emotions in Times of Volatility
02/15/2018,Personal Capital,The Retiring Abroad Checklist
02/14/2018,Michelle Brownstein,Money Talks Every Couple Should Have
02/13/2018,Maxime Rousseau,Beware of Tax Refund Fraud During Tax-Filing Season
02/12/2018,Gregory DePalma,Itemized Deductions vs. the Standard Deduction
02/09/2018,Craig Birk,"Volatility May Be Sign of Market Correction, Not Necessarily a Bear"
02/08/2018,Craig Birk,7 Things You Should Know About Your Finances
02/07/2018,Personal Capital,What is a Trust and Why Should You Create One?
02/06/2018,Gregory DePalma,How Tax Reform Affects the Kiddie Tax
02/05/2018,Personal Capital,Video: The Tax Benefits of Charitable Giving and Your Legacy Planning
02/02/2018,Brendan Erne,This Week's Selloff Could Indicate Volatility
02/01/2018,Bryan Knoebel,Planning for Medical Costs in Retirement
01/31/2018,Gregory DePalma,Tax-Wise Charitable Giving: Donating Appreciated Assets
01/30/2018,Gregory DePalma,Tax Reform's Impact on 529 Savings Plans
01/29/2018,Craig Birk,Active vs. Passive Investing
01/26/2018,Paul Deer,Impact of Federal Government Changes Remain to be Seen
01/25/2018,Craig Birk,Tax Management: 4 Key Areas for Investors
01/24/2018,Craig Birk,How to Save for & Spend in Retirement
01/23/2018,Personal Capital,Video: What is Legacy Planning?
01/19/2018,Craig Birk,Potential Government Shutdown Doesn't Faze Market
01/18/2018,Jacob Jaegle,401k Retirement Contribution Limits for 2018
01/17/2018,Craig Birk,Market Outlook in 2018: Bull Markets & Trends
01/16/2018,Craig Birk,"Q4 2017 Market Recap: Bitcoin, Tax Reform & Bull Markets"
01/12/2018,Personal Capital,Personal Capital: A Year in Review
01/11/2018,Craig Birk,Optimism & Your Future Financial Lifestyle
01/09/2018,Paul Deer,Could You Benefit from Making Qualified Charitable Distributions?
01/05/2018,Craig Birk,Tech Stocks & Kicking Off 2018
01/04/2018,Shannon Lynch,Five Simple Money Management Skills to Develop in 2018
01/03/2018,Gregory DePalma,2018 Tax Planning: How Tax Reform Impacts You
12/29/2017,Craig Birk,Closing Out 2017 & Looking Forward to 2018
12/28/2017,Gregory DePalma,Make Some Financial Resolutions for the New Year
12/27/2017,Paul Deer,"What is a Trust, and Who Needs One?"
12/26/2017,Personal Capital,eBook: Legacy & Estate Planning
12/24/2017,Craig Birk,How Personal Capital is Revolutionizing Asset Allocation
12/23/2017,Amin Dabit,Happy Holidays (and Some Tax Reform)
12/21/2017,Gregory DePalma,What The Tax Reform Act May Mean to You
12/20/2017,Amin Dabit,"That's So 2009 - Are You Suffering From the ""Anchoring"" Effect?"
12/19/2017,Craig Birk,Where Does Charitable Giving Fit in with Your Legacy Planning?
12/15/2017,Brendan Erne,Final Version of Tax Bill Expected Soon
12/14/2017,Andrew Wagner,6 Tax and Financial Moves to Make Before December 31
12/13/2017,Michelle Brownstein,Personal Capital's Affluent Investor Outlook 2018
12/12/2017,Paul Deer,Taxes and Your Estate Plan
12/08/2017,Craig Birk,An Honest Look at Bitcoin
12/07/2017,Craig Birk,Do You Have What it Takes to Rebalance?
12/06/2017,Amin Dabit,What Do You Want to Be Remembered For?
12/05/2017,Gregory DePalma,The Tax Benefits of Charitable Giving
12/01/2017,Craig Birk,Political News and the Market
11/30/2017,Gregory DePalma,The Difference Between HIFO and FIFO Could Be a Higher Tax Bill
11/29/2017,Amin Dabit,Are You Entering the Sequence-Risk Zone?
11/28/2017,Craig Birk,Is the Equity Market Making You Jumpy?
11/24/2017,Amin Dabit,Some EOY Tax Items to Consider
11/22/2017,Gregory DePalma,Tax Reform Could Influence Your Next Home Purchase
11/21/2017,Personal Capital,Estimated Financial Advisory Fees by Investment Firm
11/17/2017,Brendan Erne,Retail Lessons from Walmart
11/15/2017,Matt Lenore,Bitcoin: 2017 Trends and its Future for Investors
11/14/2017,Andrew Wagner,How Would a Reduced Corporate Tax Rate Affect Investors?
11/13/2017,Personal Capital,Questions to Ask When Choosing a Financial Advisor
11/11/2017,Craig Birk,The Only Thing Constant is Change
11/08/2017,Personal Capital,The Effects of Fees on Investment Returns
11/03/2017,Craig Birk,New Proposals: A Fed Chairman & A Tax Plan
11/01/2017,Personal Capital,Quiz: What Do You Know About Investment Fees?
10/30/2017,Amin Dabit,Financial Planning Shouldn't Be Frightenin
10/27/2017,Brendan Erne,ECB Announces Plans for its Bond Buying Program
10/25/2017,Jay Shah,Beneath the Surface: What You Might Be Losing to Hidden Fees
10/20/2017,Kyle Ryan,Video: A Look Back on Q3 2017
10/19/2017,Craig Birk,A Winning Portfolio: Avoiding Big Losses May Be More Important Than Max Gains
10/17/2017,Jacob Collinsworth,Using a Roth IRA for College Savings
10/13/2017,Craig Birk,Prepare for the Return of Market Volatility
10/12/2017,Craig Birk,Bull Market Remains Unfazed During Global Disasters
10/10/2017,Jim Del Favero,Introducing the Education Planner
10/09/2017,Jacob Jaegle,Coverdell ESA vs 529 Plan
10/07/2017,Craig Birk,Nine Years Into a Bull Market Means Money for Innovation
10/03/2017,Paul Deer,CASE STUDY: Funding College While Saving for Retirement
09/30/2017,Amin Dabit,The Trump Tax Reform Outline and What You Should Be Asking
09/27/2017,Personal Capital,Quiz: How Do You Stack Up Against America's Affluent?
09/26/2017,Jay Shah,New Survey: How Affluent Americans Handle Family Finances
09/25/2017,Jacob Jaegle,Three Options When You Have Excess 529 Funds
09/23/2017,Craig Birk,Does the Tension Between the U.S. and North Korea Affect the Market?
